image,age,C3,C4
DATA_FACE\1_0_3_20161220220110553_face0.jpg,1,0,3
DATA_FACE\1_0_3_20161220220317465_face0.jpg,1,0,3
DATA_FACE\1_0_3_20161220222441595_face0.jpg,1,0,3
DATA_FACE\1_0_3_20161220222945883_face0.jpg,1,0,3
DATA_FACE\1_0_4_20161221195827599_face0.jpg,1,0,4
DATA_FACE\1_0_4_20161221201909505_face0.jpg,1,0,4
DATA_FACE\1_0_4_20161221202654538_face0.jpg,1,0,4
DATA_FACE\1_0_4_20161221203008320_face0.jpg,1,0,4
DATA_FACE\1_0_4_20170103202356872_face0.jpg,1,0,4
DATA_FACE\1_0_4_20170103202412648_face0.jpg,1,0,4
DATA_FACE\1_1_0_20170109190535640_face1.jpg,1,1,0
DATA_FACE\1_1_0_20170109190811756_face0.jpg,1,1,0
DATA_FACE\1_1_0_20170109193017247_face0.jpg,1,1,0
DATA_FACE\1_1_0_20170109193401456_face2.jpg,1,1,0
DATA_FACE\1_1_0_20170109193427612_face0.jpg,1,1,0
DATA_FACE\1_1_2_20161219200539420_face0.jpg,1,1,2
DATA_FACE\1_1_2_20170117192827229_face0.jpg,1,1,2
DATA_FACE\1_1_3_20161220221547970_face0.jpg,1,1,3
DATA_FACE\1_1_4_20161221193234997_face0.jpg,1,1,4
DATA_FACE\1_1_4_20161221193741869_face0.jpg,1,1,4
DATA_FACE\1_1_4_20161221201852145_face0.jpg,1,1,4
DATA_FACE\1_1_4_20161221202124857_face0.jpg,1,1,4
DATA_FACE\1_1_4_20170109193346573_face0.jpg,1,1,4
DATA_FACE\20_0_0_20170113132609281_face0.jpg,20,0,0
DATA_FACE\20_0_0_20170113180905699_face0.jpg,20,0,0
DATA_FACE\20_0_0_20170117005807799_face0.jpg,20,0,0
DATA_FACE\20_0_0_20170117134248038_face0.jpg,20,0,0
DATA_FACE\20_0_0_20170117151603012_face0.jpg,20,0,0
DATA_FACE\20_0_0_20170120133527581_face0.jpg,20,0,0
DATA_FACE\20_0_0_20170120133547085_face0.jpg,20,0,0
DATA_FACE\20_0_1_20170113132622368_face0.jpg,20,0,1
DATA_FACE\20_0_1_20170113174858707_face0.jpg,20,0,1
DATA_FACE\20_1_0_20170104020801388_face0.jpg,20,1,0
DATA_FACE\20_1_0_20170109214040024_face0.jpg,20,1,0
DATA_FACE\20_1_0_20170112231826743_face0.jpg,20,1,0
DATA_FACE\20_1_0_20170117192922563_face0.jpg,20,1,0
DATA_FACE\20_1_1_20170112191230798_face0.jpg,20,1,1
DATA_FACE\20_1_1_20170112205029995_face0.jpg,20,1,1
DATA_FACE\20_1_2_20170104020440101_face0.jpg,20,1,2
DATA_FACE\20_1_2_20170109213154546_face0.jpg,20,1,2
DATA_FACE\20_1_2_20170116165621526_face1.jpg,20,1,2
DATA_FACE\20_1_3_20170117141155272_face0.jpg,20,1,3
DATA_FACE\20_1_4_20161223230110540_face0.jpg,20,1,4
DATA_FACE\21_0_0_20170104230059401_face0.jpg,21,0,0
DATA_FACE\21_0_0_20170104230103695_face0.jpg,21,0,0
DATA_FACE\21_0_1_20170114032016183_face0.jpg,21,0,1
DATA_FACE\21_0_1_20170116214205175_face0.jpg,21,0,1
DATA_FACE\21_0_1_20170116215541940_face0.jpg,21,0,1
DATA_FACE\21_0_4_20161223214830361_face0.jpg,21,0,4
DATA_FACE\21_1_0_20170109213135260_face0.jpg,21,1,0
DATA_FACE\21_1_0_20170116214341701_face0.jpg,21,1,0
DATA_FACE\21_1_0_20170116220224031_face0.jpg,21,1,0
DATA_FACE\21_1_0_20170116220441404_face1.jpg,21,1,0
DATA_FACE\21_1_0_20170117141834506_face0.jpg,21,1,0
DATA_FACE\21_1_1_20170103223257503_face0.jpg,21,1,1
DATA_FACE\21_1_1_20170112191219486_face0.jpg,21,1,1
DATA_FACE\21_1_1_20170112232020295_face0.jpg,21,1,1
DATA_FACE\21_1_1_20170113005728276_face0.jpg,21,1,1
DATA_FACE\21_1_1_20170116215704702_face0.jpg,21,1,1
DATA_FACE\21_1_2_20170116164805815_face0.jpg,21,1,2
DATA_FACE\21_1_2_20170116171702825_face0.jpg,21,1,2
DATA_FACE\21_1_3_20170104231611130_face0.jpg,21,1,3
DATA_FACE\21_1_3_20170104233909843_face0.jpg,21,1,3
DATA_FACE\21_1_3_20170109132139583_face0.jpg,21,1,3